,chunk,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,Book,TopEmotion1,TopEmotion2,TopEmotion3,Filename_x,Query,Filename_y,ISBN13,Title,Author,PublishedDate,ImgURL,NumPages,AvgRtg,Description,BuyLink,Price,Currency,Most Similar Book,2nd Most Similar Book,3rd Most Similar Book,book_updated
0,1,0.08559201141226819,0.15834522111269614,0.07560627674750357,0.12553495007132667,0.1383737517831669,0.12125534950071326,0.06134094151212553,0.23395149786019973,0.4004474272930649,0.5995525727069351,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
1,2,0.07608695652173914,0.15821256038647344,0.043478260869565216,0.10024154589371981,0.1751207729468599,0.09420289855072464,0.08695652173913043,0.26570048309178745,0.3016453382084095,0.6983546617915904,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
2,3,0.06386066763425254,0.19593613933236576,0.055152394775036286,0.10449927431059507,0.14804063860667635,0.10740203193033382,0.08127721335268505,0.24383164005805516,0.3227990970654628,0.6772009029345373,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
3,4,0.09400826446280992,0.16322314049586778,0.06714876033057851,0.14359504132231404,0.14359504132231404,0.13739669421487602,0.05785123966942149,0.19318181818181818,0.41551724137931034,0.5844827586206897,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
4,5,0.09962406015037593,0.14473684210526316,0.09022556390977443,0.15037593984962405,0.13909774436090225,0.1193609022556391,0.08834586466165413,0.16823308270676693,0.41872791519434627,0.5812720848056537,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
5,6,0.10665258711721225,0.1573389651531151,0.07286166842661035,0.17845828933474128,0.11932418162618796,0.146779303062302,0.07602956705385427,0.14255543822597677,0.46716697936210133,0.5328330206378987,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
6,7,0.11590524534686972,0.1505922165820643,0.07529610829103214,0.13790186125211507,0.16328257191201354,0.13874788494077833,0.07106598984771574,0.14720812182741116,0.4484375,0.5515625,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
7,8,0.06515301085883514,0.18361303060217177,0.060217176702862786,0.11154985192497532,0.192497532082922,0.12833168805528133,0.06614017769002961,0.192497532082922,0.3815789473684211,0.618421052631579,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
8,9,0.06702898550724638,0.19927536231884058,0.05253623188405797,0.1105072463768116,0.18115942028985507,0.10869565217391304,0.08514492753623189,0.1956521739130435,0.3398230088495575,0.6601769911504425,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
9,10,0.0869120654396728,0.1523517382413088,0.07157464212678936,0.13701431492842536,0.14008179959100203,0.12985685071574643,0.06339468302658487,0.21881390593047034,0.3743119266055046,0.6256880733944954,The Scarlet Letter by Nathaniel Hawthorne,trust,anticipation,joy,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne,The Scarlet Letter by Nathaniel Hawthorne.txt,"{'type': 'OTHER', 'identifier': 'OXFORD:590470741'}",The Scarlet Letter,Nathaniel Hawthorne,1851,http://books.google.com/books/content?id=csENAAAAQAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,252,3,"This work is a troubling story of crime, sin, guilt, punishment and expiation, set in the rigid moral climate of 17th-century New England. The young mother of an illegitimate child confronts her Puritan judges, as she suffers a harsh sentence and the guilt as her lover is revealed.",https://play.google.com/store/books/details?id=csENAAAAQAAJ&rdid=book-csENAAAAQAAJ&rdot=1&source=gbs_api,,,Moby Dick,Pride and Prejudice,"Frankenstein, or, The Modern Prometheus",The Scarlet Letter
