,chunk,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,book,Query,Filename,ISBN13,Title,Author,PublishedDate,ImgURL,NumPages,AvgRtg,Description,BuyLink,Price,Currency,Book,TopEmotion1,TopEmotion2,TopEmotion3,Most Similar,2nd Most Similar,3rd Most Similar
0,1,0.059449867,0.124667258,0.037267081,0.077196096,0.085625555,0.130878438,0.234250222,0.063442768,0.055900621,0.131322094,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
1,2,0.043936731,0.140158172,0.031634446,0.055360281,0.125659051,0.115114236,0.216608084,0.050966608,0.094024605,0.126537786,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
2,3,0.071376012,0.116629875,0.052980132,0.105960265,0.080573951,0.153789551,0.166298749,0.087196468,0.066961001,0.098233996,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
3,4,0.056891767,0.123959297,0.0453284,0.067530065,0.093432007,0.137372803,0.207678076,0.070305273,0.074468085,0.123034228,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
4,5,0.057984353,0.112287161,0.044178555,0.073170732,0.100782329,0.155085136,0.196962724,0.070409572,0.072710538,0.1164289,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
5,6,0.064454615,0.125095347,0.049961861,0.062166285,0.110602593,0.131578947,0.190312738,0.06559878,0.086193745,0.114035088,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
6,7,0.054867987,0.116336634,0.035478548,0.061468647,0.120049505,0.138613861,0.214933993,0.073844884,0.067244224,0.117161716,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
7,8,0.053912214,0.107347328,0.035305344,0.071564885,0.106870229,0.15028626,0.208015267,0.079675573,0.068225191,0.11879771,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
8,9,0.059352518,0.107014388,0.036870504,0.101169065,0.080485612,0.170413669,0.162320144,0.091726619,0.083633094,0.107014388,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
9,10,0.074122807,0.114035088,0.04254386,0.114035088,0.071491228,0.181140351,0.174561404,0.095614035,0.042105263,0.090350877,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring,01 - The Fellowship Of The Ring.txt,"{'type': 'OTHER', 'identifier': 'OCLC:1091222660'}",The Fellowship of the Ring,,2012,,,,"In a sleepy village in the Shire, a young hobbit is entrusted with an immense task. He must make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the ruling ring of power - the only thing that prevents the dark lord's evil dominion.",,,,01 - The Fellowship Of The Ring,anticipation,trust,fear,The Brothers Karamazov by Fyodor Dostoyevsky (283),Lolita,The Girl with the Dragon Tattoo - Stieg Larsson
